id,category,title,description,image,price,quality,startDate,endDate,experienceType,durationHours
e0,experience,Rosalia at Palau Sant Jordi,"Rosalia at Palau Sant Jordi in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=348",137,1,2026-07-31T00:00:00+02:00,2026-07-31T00:00:00+02:00,Concert,3
e1,experience,Coldplay live at Estadi Olimpic,"Coldplay live at Estadi Olimpic in Barcelona, Spain. 4h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=622",31,4,2026-07-27T00:00:00+02:00,2026-07-27T00:00:00+02:00,Concert,4
e2,experience,Bad Bunny at Palau Sant Jordi,"Bad Bunny at Palau Sant Jordi in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=512",33,5,2026-07-16T00:00:00+02:00,2026-07-16T00:00:00+02:00,Concert,3
e3,experience,Manu Chao at Razzmatazz,"Manu Chao at Razzmatazz in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=904",190,1,2026-07-21T00:00:00+02:00,2026-07-21T00:00:00+02:00,Concert,3
e4,experience,Jazz night at Jamboree,"Jazz night at Jamboree in Barcelona, Spain. 2h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=345",53,5,2026-07-05T00:00:00+02:00,2026-07-05T00:00:00+02:00,Concert,2
e5,experience,Flamenco fusion at Sala Apolo,"Flamenco fusion at Sala Apolo in Barcelona, Spain. 2h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=828",92,1,2026-07-31T00:00:00+02:00,2026-07-31T00:00:00+02:00,Concert,2
e6,experience,Indie night at Sidecar,"Indie night at Sidecar in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=923",45,5,2026-07-08T00:00:00+02:00,2026-07-08T00:00:00+02:00,Concert,3
e7,experience,Primavera Sound Festival,"Primavera Sound Festival in Barcelona, Spain. 8h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=666",121,5,2026-07-25T00:00:00+02:00,2026-07-25T00:00:00+02:00,Festival,8
e8,experience,Sonar Festival day pass,"Sonar Festival day pass in Barcelona, Spain. 10h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=416",173,2,2026-07-20T00:00:00+02:00,2026-07-20T00:00:00+02:00,Festival,10
e9,experience,Cruilla Festival,"Cruilla Festival in Barcelona, Spain. 9h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=721",148,4,2026-07-25T00:00:00+02:00,2026-07-25T00:00:00+02:00,Festival,9
e10,experience,Festa Major de Gracia,"Festa Major de Gracia in Barcelona, Spain. 6h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=946",128,3,2026-07-15T00:00:00+02:00,2026-07-15T00:00:00+02:00,Festival,6
e11,experience,Barcelona Beer Festival,"Barcelona Beer Festival in Barcelona, Spain. 5h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=287",165,4,2026-07-28T00:00:00+02:00,2026-07-28T00:00:00+02:00,Festival,5
e12,experience,Piknic Electronik,"Piknic Electronik in Barcelona, Spain. 7h of festival.","https://source.unsplash.com/800x600/?Festival%20Barcelona,%20Spain&sig=495",160,5,2026-07-10T00:00:00+02:00,2026-07-10T00:00:00+02:00,Festival,7
e13,experience,FC Barcelona vs Real Madrid,"FC Barcelona vs Real Madrid in Barcelona, Spain. 3h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=418",171,1,2026-07-02T00:00:00+02:00,2026-07-02T00:00:00+02:00,Sport Match,3
e14,experience,FC Barcelona vs Atletico Madrid,"FC Barcelona vs Atletico Madrid in Barcelona, Spain. 3h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=486",68,2,2026-07-31T00:00:00+02:00,2026-07-31T00:00:00+02:00,Sport Match,3
e15,experience,RCD Espanyol home match,"RCD Espanyol home match in Barcelona, Spain. 3h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=98",184,1,2026-07-09T00:00:00+02:00,2026-07-09T00:00:00+02:00,Sport Match,3
e16,experience,Barcelona Open tennis,"Barcelona Open tennis in Barcelona, Spain. 4h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=733",76,2,2026-07-06T00:00:00+02:00,2026-07-06T00:00:00+02:00,Sport Match,4
e17,experience,FC Barcelona basketball at Palau Blaugrana,"FC Barcelona basketball at Palau Blaugrana in Barcelona, Spain. 2h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=790",34,2,2026-07-18T00:00:00+02:00,2026-07-18T00:00:00+02:00,Sport Match,2
e18,experience,Catalunya MotoGP at Montmelo,"Catalunya MotoGP at Montmelo in Barcelona, Spain. 5h of sport match.","https://source.unsplash.com/800x600/?Sport%20Match%20Barcelona,%20Spain&sig=170",119,4,2026-07-01T00:00:00+02:00,2026-07-01T00:00:00+02:00,Sport Match,5
e19,experience,Rosalia at Palau Sant Jordi,"Rosalia at Palau Sant Jordi in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=526",167,4,2026-07-23T00:00:00+02:00,2026-07-23T00:00:00+02:00,Concert,3
e20,experience,Coldplay live at Estadi Olimpic,"Coldplay live at Estadi Olimpic in Barcelona, Spain. 4h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=174",23,2,2026-07-10T00:00:00+02:00,2026-07-10T00:00:00+02:00,Concert,4
e21,experience,Bad Bunny at Palau Sant Jordi,"Bad Bunny at Palau Sant Jordi in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=897",195,3,2026-07-10T00:00:00+02:00,2026-07-10T00:00:00+02:00,Concert,3
e22,experience,Manu Chao at Razzmatazz,"Manu Chao at Razzmatazz in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=110",131,1,2026-07-23T00:00:00+02:00,2026-07-23T00:00:00+02:00,Concert,3
e23,experience,Jazz night at Jamboree,"Jazz night at Jamboree in Barcelona, Spain. 2h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=998",74,3,2026-07-22T00:00:00+02:00,2026-07-22T00:00:00+02:00,Concert,2
e24,experience,Flamenco fusion at Sala Apolo,"Flamenco fusion at Sala Apolo in Barcelona, Spain. 2h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=840",175,5,2026-07-26T00:00:00+02:00,2026-07-26T00:00:00+02:00,Concert,2
e25,experience,Indie night at Sidecar,"Indie night at Sidecar in Barcelona, Spain. 3h of concert.","https://source.unsplash.com/800x600/?Concert%20Barcelona,%20Spain&sig=4",65,4,2026-07-22T00:00:00+02:00,2026-07-22T00:00:00+02:00,Concert,3
