id,category,title,description,image,price,quality,startDate,endDate,type,rooms
s0,stay,Sunset Loft Gracia,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=657",335,2,2026-07-20T00:00:00+02:00,2026-07-22T00:00:00+02:00,Hotel,3
s1,stay,Old Town Casa Gotic,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=707",315,2,2026-07-15T00:00:00+02:00,2026-07-17T00:00:00+02:00,Airbnb,3
s2,stay,Plaza Suites Eixample,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=495",379,1,2026-07-25T00:00:00+02:00,2026-07-29T00:00:00+02:00,Airbnb,3
s3,stay,Harborview Hostel Barceloneta,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=836",396,3,2026-07-25T00:00:00+02:00,2026-07-30T00:00:00+02:00,Hotel,2
s4,stay,Garden Boutique Poble Sec,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=185",129,5,2026-07-25T00:00:00+02:00,2026-07-30T00:00:00+02:00,Airbnb,3
s5,stay,The Cloud Hotel Diagonal,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=18",260,5,2026-07-01T00:00:00+02:00,2026-07-05T00:00:00+02:00,Hotel,3
s6,stay,Casa Marina Port Vell,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=452",282,2,2026-07-17T00:00:00+02:00,2026-07-24T00:00:00+02:00,Hotel,1
s7,stay,Mosaic Inn El Born,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=447",87,2,2026-07-25T00:00:00+02:00,2026-07-31T00:00:00+02:00,Airbnb,3
s8,stay,Riverside Apt Poblenou,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=522",165,4,2026-07-08T00:00:00+02:00,2026-07-11T00:00:00+02:00,Hotel,1
s9,stay,Skyline Tower Sants,"Hotel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hotel%20Barcelona,%20Spain&sig=404",396,4,2026-07-25T00:00:00+02:00,2026-07-31T00:00:00+02:00,Hotel,4
s10,stay,Ramblas Rooms,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=610",424,1,2026-07-05T00:00:00+02:00,2026-07-12T00:00:00+02:00,Airbnb,4
s11,stay,Tibidabo View Lodge,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=817",325,2,2026-07-28T00:00:00+02:00,2026-07-31T00:00:00+02:00,Airbnb,1
s12,stay,Montjuic Garden Stay,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=511",326,5,2026-07-17T00:00:00+02:00,2026-07-24T00:00:00+02:00,Airbnb,3
s13,stay,Sagrada Suites,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=585",408,5,2026-07-29T00:00:00+02:00,2026-07-31T00:00:00+02:00,Airbnb,4
s14,stay,Barri Gotic Boutique,"Hostel in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?hostel%20Barcelona,%20Spain&sig=513",420,4,2026-07-18T00:00:00+02:00,2026-07-23T00:00:00+02:00,Hostel,4
s15,stay,Sunset Loft Gracia,"Airbnb in Barcelona, Spain. Cozy spot near the action.","https://source.unsplash.com/800x600/?airbnb%20Barcelona,%20Spain&sig=632",432,5,2026-07-08T00:00:00+02:00,2026-07-18T00:00:00+02:00,Airbnb,4
